name,actor,information,date,star,evaluate,introduction
肖申克的救赎,蒂姆·罗宾斯TimRobbins/..., 美国   犯罪剧情,1994 ,9.7,2933341人评价,希望让人自由。
霸王别姬,张国荣LeslieCheung/张丰毅FengyiZha..., 中国大陆中国香港   剧情爱情同性,1993 ,9.6,2166346人评价,风华绝代。
阿甘正传,汤姆·汉克斯TomHanks/..., 美国   剧情爱情,1994 ,9.5,2186811人评价,一部美国近现代史。
泰坦尼克号,莱昂纳多·迪卡普里奥Leonardo..., 美国墨西哥   剧情爱情灾难,1997 ,9.5,2219847人评价,失去的才是永恒的。 
这个杀手不太冷,让·雷诺JeanReno/娜塔莉·波特曼..., 法国美国   剧情动作犯罪,1994 ,9.4,2319201人评价,怪蜀黍和小萝莉不得不说的故事。
千与千寻,柊瑠美RumiHîragi/入野自由Miy..., 日本   剧情动画奇幻,2001 ,9.4,2270329人评价,最好的宫崎骏，最好的久石让。 
美丽人生,罗伯托·贝尼尼RobertoBeni..., 意大利   剧情喜剧爱情战争,1997 ,9.6,1341266人评价,最美的谎言。
星际穿越,马修·麦康纳MatthewMc..., 美国英国加拿大   剧情科幻冒险,2014 ,9.4,1874108人评价,爱是一种力量，让我们超越时空感知它的存在。
辛德勒的名单,连姆·尼森LiamNeeson..., 美国   剧情历史战争,1993 ,9.6,1119209人评价,拯救一个人，就是拯救整个世界。
盗梦空间,莱昂纳多·迪卡普里奥Le..., 美国英国   剧情科幻悬疑冒险,2010 ,9.4,2090908人评价,诺兰给了我们一场无法盗取的梦。
楚门的世界,金·凯瑞JimCarrey/劳拉·琳妮Lau..., 美国   剧情科幻,1998 ,9.4,1737911人评价,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,理查·基尔RichardGer..., 美国英国   剧情,2009 ,9.4,1412346人评价,永远都不能忘记你所爱的人。
海上钢琴师,蒂姆·罗斯TimRoth/..., 意大利   剧情音乐,1998 ,9.3,1695900人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,阿米尔·汗AamirKhan/卡..., 印度   剧情喜剧爱情歌舞,2009 ,9.2,1878634人评价,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,让-巴蒂斯特·莫尼..., 法国瑞士德国   剧情音乐,2004 ,9.3,1327314人评价,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,本·贝尔特BenBurtt/艾丽..., 美国   科幻动画冒险,2008 ,9.3,1331591人评价,小瓦力，大人生。
疯狂动物城,金妮弗·..., 美国   喜剧动画冒险,2016 ,9.2,1966636人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,刘德华AndyLau/梁朝伟TonyLeungChiuW..., 中国香港   剧情犯罪惊悚,2002 ,9.3,1382664人评价,香港电影史上永不过时的杰作。
控方证人,泰隆·鲍华TyronePower/玛琳·..., 美国   剧情犯罪悬疑,1957 ,9.6,573951人评价,比利·怀德满分作品。
大话西游之大圣娶亲,周星驰StephenChow/吴孟达ManTatNg..., 中国香港中国大陆   喜剧爱情奇幻古装,1995 ,9.2,1550520人评价,一生所爱。
熔炉,孔侑YooGong/郑有美Yu-miJung/..., 韩国   剧情,2011 ,9.4,941343人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,马龙·白兰度M..., 美国   剧情犯罪,1972 ,9.3,980374人评价,千万不要记恨你的对手，这样会让你失去理智。
触不可及,无信息, 法国   剧情喜剧,2011 ,9.3,1131749人评价,满满温情的高雅喜剧。
当幸福来敲门,威尔·史密斯WillSmith..., 美国   剧情传记家庭,2006 ,9.2,1536830人评价,平民励志片。 
末代皇帝,尊龙JohnLone/陈..., 英国意大利中国大陆法国   剧情传记历史,1987 ,9.3,898977人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,..., 美国   喜剧动画奇幻音乐,2017 ,9.1,1707277人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
龙猫,日高法子NorikoHidaka/坂本千夏Ch..., 日本   动画奇幻冒险,1988 ,9.2,1280782人评价,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,玛德琳·卡罗尔MadelineCarroll/卡..., 美国   剧情喜剧爱情,2010 ,9.1,1854295人评价,真正的幸福是来自内心深处。
活着,葛优YouGe/巩俐LiGong/姜武WuJiang, 中国大陆中国香港   剧情历史家庭,1994 ,9.3,857275人评价,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,克里斯蒂安·贝尔Christ..., 美国英国   剧情动作科幻犯罪惊悚,2008 ,9.2,1074980人评价,无尽的黑暗。
哈利·波特与魔法石,DanielRadcliffe/EmmaWatson/RupertGrint, 美国英国   奇幻冒险,2001 ,9.2,1210556人评价,童话世界的开端。
指环王3：王者无敌,伊利亚·伍德ElijahWood/西恩..., 美国新西兰   剧情动作奇幻冒险,2003 ,9.3,813614人评价,史诗的终章。
我不是药神,徐峥ZhengXu/王传君ChuanjunWang/周..., 中国大陆   剧情喜剧,2018 ,9.0,2129775人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人,费..., 美国   剧情历史爱情战争,1939 ,9.3,700096人评价,Tomorrow is another day.
飞屋环游记,爱德..., 美国   剧情喜剧动画冒险,2009 ,9.1,1342210人评价,最后那些最无聊的事情，才是最值得怀念的。 
素媛,薛景求Kyung-guSol/严志媛Ji-wonUhm..., 韩国   剧情,2013 ,9.3,695486人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡,倍赏千惠子ChiekoBaishô/木村拓..., 日本   动画奇幻冒险,2004 ,9.1,1039986人评价,带着心爱的人在天空飞翔。
十二怒汉,亨利·方达HenryFonda/马丁·鲍尔萨姆Marti..., 美国   剧情,1957 ,9.4,498277人评价,1957年的理想主义。 
何以为家,扎因·拉费阿Zainal-Rafeea/..., 黎巴嫩美国法国塞浦路斯卡塔尔英国   剧情,2018 ,9.1,1057010人评价,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,阿米尔·汗AamirKhan/法缇玛..., 印度   剧情传记运动家庭,2016 ,9.0,1586381人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
让子弹飞,姜文WenJiang/葛优YouGe/周润发Yun-F..., 中国大陆中国香港   剧情喜剧动作西部,2010 ,9.0,1719751人评价,你给我翻译翻译，神马叫做TMD的惊喜。
猫鼠游戏,莱昂纳多·迪卡普里奥L..., 美国加拿大   传记犯罪剧情,2002 ,9.1,1042389人评价,骗子大师和执著警探的你追我跑故事。 
天空之城,田中真弓MayumiTanaka/横泽启子Ke..., 日本   动画奇幻冒险,1986 ,9.2,886183人评价,对天空的追逐，永不停止。 
鬼子来了,姜文WenJiang/香川照之TeruyukiKagawa/..., 中国大陆   剧情喜剧,2000 ,9.3,634499人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan..., 美国中国台湾英国加拿大   剧情奇幻冒险,2012 ,9.1,1362908人评价,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷,阿努克·斯特芬AnukSteffen/..., 德国瑞士   剧情冒险家庭,2015 ,9.3,628536人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家,艾德里安·布洛迪AdrienBrod..., 英国法国波兰德国   剧情传记战争音乐,2002 ,9.3,650629人评价,音乐能化解仇恨。
大话西游之月光宝盒,周星驰StephenChow/吴孟达ManTatNg..., 中国香港中国大陆   喜剧爱情奇幻古装,1995 ,9.0,1234601人评价,旷古烁今。
指环王2：双塔奇兵,伊利亚·伍德ElijahWood/西恩..., 美国新西兰   剧情动作奇幻冒险,2002 ,9.2,763320人评价,承前启后的史诗篇章。
闻香识女人,阿尔·帕西诺AlPacino/克里斯..., 美国   剧情,1992 ,9.1,898269人评价,史上最美的探戈。
死亡诗社,罗宾·威廉姆斯RobinWilliams/罗伯..., 美国   剧情,1989 ,9.2,738301人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
罗马假日,奥黛丽·赫本AudreyHepburn/格..., 美国   喜剧剧情爱情,1953 ,9.1,959843人评价,爱情哪怕只有一天。
绿皮书,维果·莫腾森ViggoMortensen/..., 美国中国大陆   剧情喜剧传记音乐,2018 ,8.9,1670674人评价,去除成见，需要勇气。
大闹天宫,邱岳峰YuefengQiu/富润生RunshengFu...,1964(中国大陆) 1978(中国大陆)   中国大陆   剧情动画奇幻古装,1961(中国大陆),9.4,444653人评价,经典之作，历久弥新。
天堂电影院,菲利普·努瓦雷Philipp..., 意大利法国   剧情爱情,1988 ,9.2,684877人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
指环王1：护戒使者,伊利亚·伍德ElijahWood/西恩..., 新西兰美国   剧情动作奇幻冒险,2001 ,9.1,857851人评价,传说的开始。
黑客帝国,无信息, 美国   动作科幻,1999 ,9.1,847313人评价,视觉革命。
教父2,阿尔·帕西诺A..., 美国   剧情犯罪,1974 ,9.3,560383人评价,优雅的孤独。
